Timestamp,Open,High,Low,Close,Volume
1763865540.0,86233.0,86236.0,86113.0,86227.0,1.15933007
1763865600.0,86219.0,86237.0,86187.0,86219.0,0.79955317
1763865660.0,86219.0,86272.0,86219.0,86272.0,3.6313425
1763865720.0,86270.0,86272.0,86182.0,86188.0,3.88271071
1763865780.0,86193.0,86223.0,86145.0,86205.0,1.15718842
1763865840.0,86216.0,86230.0,86116.0,86117.0,2.15654926
1763865900.0,86133.0,86151.0,86078.0,86105.0,1.68587978
1763865960.0,86105.0,86121.0,86046.0,86074.0,0.21722421
1763866020.0,86079.0,86210.0,86079.0,86210.0,1.08066816
1763866080.0,86209.0,86232.0,86165.0,86222.0,6.11223952
1763866140.0,86222.0,86222.0,86182.0,86184.0,1.59278204
1763866200.0,86178.0,86186.0,86136.0,86140.0,4.78862378
1763866260.0,86144.0,86221.0,86139.0,86221.0,0.38102458
1763866320.0,86221.0,86240.0,86204.0,86211.0,1.7995308
1763866380.0,86206.0,86206.0,86064.0,86081.0,4.14807586
1763866440.0,86099.0,86116.0,85973.0,86000.0,14.8336123
1763866500.0,85999.0,86048.0,85999.0,86035.0,2.42764402
1763866560.0,86034.0,86049.0,86000.0,86000.0,1.55573075
1763866620.0,85999.0,86004.0,85975.0,85986.0,0.51509801
1763866680.0,85997.0,86002.0,85948.0,85948.0,0.8266031
1763866740.0,85948.0,85950.0,85902.0,85938.0,0.65066124
1763866800.0,85937.0,85937.0,85887.0,85889.0,0.13691086
1763866860.0,85889.0,85949.0,85888.0,85932.0,0.87853048
1763866920.0,85926.0,85933.0,85910.0,85910.0,0.28822544
1763866980.0,85892.0,85915.0,85874.0,85889.0,0.75008002
1763867040.0,85880.0,85880.0,85821.0,85830.0,1.66739029
1763867100.0,85822.0,85836.0,85778.0,85785.0,0.09517836
1763867160.0,85794.0,85858.0,85788.0,85846.0,1.2144292
1763867220.0,85846.0,85921.0,85846.0,85905.0,0.5129248
1763867280.0,85905.0,85944.0,85905.0,85944.0,0.47104247
1763867340.0,85944.0,85997.0,85925.0,85997.0,4.86174356
1763867400.0,85983.0,86035.0,85973.0,86009.0,0.42781963
1763867460.0,86009.0,86009.0,85968.0,85977.0,0.37921537
1763867520.0,85977.0,85981.0,85869.0,85878.0,0.68150612
1763867580.0,85877.0,85877.0,85802.0,85806.0,2.21097178
1763867640.0,85806.0,85833.0,85806.0,85833.0,0.98971065
1763867700.0,85834.0,85860.0,85772.0,85783.0,0.89339092
1763867760.0,85781.0,85896.0,85767.0,85859.0,1.03462851
1763867820.0,85874.0,85899.0,85824.0,85824.0,0.81700462
1763867880.0,85783.0,85818.0,85781.0,85817.0,1.01489395
1763867940.0,85816.0,85895.0,85808.0,85895.0,0.52264133
1763868000.0,85894.0,85894.0,85778.0,85778.0,0.60086948
1763868060.0,85790.0,85831.0,85790.0,85831.0,0.13459793
1763868120.0,85831.0,85864.0,85831.0,85850.0,0.09835053
1763868180.0,85848.0,85848.0,85790.0,85790.0,1.41234987
1763868240.0,85790.0,85831.0,85788.0,85831.0,1.04901628
1763868300.0,85830.0,85844.0,85805.0,85843.0,0.33023112
1763868360.0,85851.0,85869.0,85843.0,85856.0,0.70447542
1763868420.0,85853.0,85885.0,85853.0,85880.0,1.14319419
1763868480.0,85873.0,85873.0,85854.0,85860.0,0.13347393
1763868540.0,85860.0,85895.0,85860.0,85894.0,0.02519797
1763868600.0,85894.0,85894.0,85842.0,85844.0,0.70158615
